City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Cockburn Town,TC,81.7,clear sky,21.4612,-71.1419,Osprey Beach Hotel
2,Cao Bang,VN,79.97,overcast clouds,22.6667,106.25,khách sạn 88
3,Kapaa,US,78.78,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
9,Luganville,VU,78.67,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
24,Kahului,US,78.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
26,Olhao,PT,75.29,clear sky,37.0286,-7.8411,Real Marina Residence
28,Saint Anthony,US,75.13,moderate rain,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
30,Porto Novo,BJ,78.62,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
32,Kimbe,PG,81.72,light rain,-5.5502,150.1429,Kimbe Bay Hotel
37,Carnarvon,AU,75.33,clear sky,-24.8667,113.6333,Hospitality Carnarvon
41,Komsomolskiy,UZ,88.52,clear sky,40.4272,71.7189,Ikathouse
42,Atuona,PF,77.76,few clouds,-9.8,-139.0333,Villa Enata
45,Saint George,US,86.59,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
47,Aklavik,CA,75.72,overcast clouds,68.2191,-135.0107,Aklavik Inn
48,Wichita,US,83.14,clear sky,37.6922,-97.3375,Courtyard by Marriott Wichita at Old Town
49,Kiunga,PG,79.29,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
50,Ambon,ID,77.23,heavy intensity rain,-3.6954,128.1814,Swiss-Belhotel Ambon
51,Sibolga,ID,85.05,scattered clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
53,Masuda,JP,86.27,broken clouds,34.6667,131.85,Masuda Green Hotel Morris
57,Karratha,AU,76.35,clear sky,-20.7377,116.8463,ibis Styles Karratha
61,Pahrump,US,83.95,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
62,Usman,RU,80.64,clear sky,52.0466,39.7288,Bazilik Usman'
71,Melito Di Porto Salvo,IT,86.74,clear sky,37.9222,15.7714,B&B Nereidi
80,Bambous Virieux,MU,75.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
81,Antsohihy,MG,80.89,few clouds,-14.8796,47.9875,Hotel de Ville
86,High Rock,BS,82.42,scattered clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
87,Itoman,JP,88.57,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
89,Sembabule,UG,76.23,broken clouds,-0.0772,31.4567,Rainbow Motel ( Sembabule )
90,Hithadhoo,MV,82.17,overcast clouds,-0.6,73.0833,Scoop Guest House
95,Ibra,OM,83.16,moderate rain,22.6906,58.5334,مزرعة راحة النفوس المنزفة
96,Katsuura,JP,77.32,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
107,Buala,SB,81.99,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
109,Kavieng,PG,81.21,moderate rain,-2.5744,150.7967,Nusa Island Retreat
115,Pelym,RU,86.18,overcast clouds,61.0108,61.9978,Obshchezhitiye Pelymskogo Lpumg
118,Butaritari,KI,81.61,light rain,3.0707,172.7902,Isles Sunset Lodge
120,Surami,GE,76.68,clear sky,42.0243,43.5556,Surami Treehouse
125,Phonhong,LA,81.12,overcast clouds,18.5007,102.4166,Manyvong Guest House
127,Nizhnyaya Tavda,RU,77.67,broken clouds,57.6731,66.1725,Dom
128,Wajir,KE,76.96,scattered clouds,1.7471,40.0573,Mahatallah Hotel
139,Kelamangalam,IN,79.36,overcast clouds,12.6,77.85,RK biriyani hotel
140,Vaitape,PF,78.37,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
141,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
142,Srandakan,ID,81.16,scattered clouds,-7.9386,110.2506,Puri Brata
144,Inuvik,CA,81.36,few clouds,68.3499,-133.7218,Nova Inn Inuvik
147,Marshall,US,78.39,clear sky,34.3834,-86.3333,Riverview Campground
152,Port Blair,IN,87.84,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
156,Yarensk,RU,80.96,clear sky,62.1675,49.0916,Outskirts hotel
158,Georgetown,MY,89.55,scattered clouds,5.4112,100.3354,Cititel Penang
160,Cayenne,GF,76.08,light rain,4.9333,-52.3333,Hôtel Le Dronmi
162,Bengkulu,ID,82.38,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
163,Jumla,NP,81.0,few clouds,29.2747,82.1838,Royal Garden Hotel
164,Marsa Matruh,EG,80.8,clear sky,31.3525,27.2453,Beau Site
173,Palazzolo Acreide,IT,79.92,clear sky,37.0623,14.9035,Feudo Bauly
177,Kailua,US,78.78,light rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
178,Banikoara,BJ,78.31,overcast clouds,11.2985,2.4386,Hôtel de l'UCom CVPC
179,Kenner,US,82.4,clear sky,29.9941,-90.2417,La Quinta Inn & Suites by Wyndham New Orleans Airport
181,Vanimo,PG,82.02,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
185,Pasighat,IN,87.13,scattered clouds,28.0667,95.3333,Siang Guest House
186,Fairbanks,US,75.54,smoke,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
189,Faanui,PF,78.4,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
190,Dongsheng,CN,87.64,clear sky,39.8161,109.9776,Crowne Plaza Ordos
