City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cockburn Town,TC,21.4612,-71.1419,81.7,77,2,19.62,clear sky
1,Chernyshevskiy,RU,63.0128,112.4714,64.94,51,100,9.06,overcast clouds
2,Cao Bang,VN,22.6667,106.25,79.97,95,100,3.83,overcast clouds
3,Kapaa,US,22.0752,-159.319,78.78,84,100,17.27,overcast clouds
4,Ushuaia,AR,-54.8,-68.3,28.06,80,0,9.22,clear sky
5,Mount Isa,AU,-20.7333,139.5,69.57,30,0,11.5,clear sky
6,Mataura,NZ,-46.1927,168.8643,47.48,96,100,8.41,moderate rain
7,Ossora,RU,59.2353,163.0719,61.34,87,100,4.74,overcast clouds
8,Barrow,US,71.2906,-156.7887,39.22,93,100,11.5,overcast clouds
9,Luganville,VU,-15.5333,167.1667,78.67,83,100,4.59,overcast clouds
10,Albany,US,42.6001,-73.9662,68.68,83,73,1.88,broken clouds
11,Hilo,US,19.7297,-155.09,74.93,92,75,1.01,light rain
12,Pangoa,PE,-12.1167,-73.0,67.91,93,61,2.21,broken clouds
13,Rafai,CF,4.95,23.9167,78.37,71,67,3.11,broken clouds
14,Puerto Ayora,EC,-0.7393,-90.3518,69.55,95,99,8.01,overcast clouds
15,Avarua,CK,-21.2078,-159.775,69.85,64,0,3.44,clear sky
16,Busselton,AU,-33.65,115.3333,66.79,69,91,17.22,overcast clouds
17,Cherskiy,RU,68.75,161.3,72.21,53,96,15.1,overcast clouds
18,Rikitea,PF,-23.1203,-134.9692,74.91,75,0,19.62,clear sky
19,Bluff,NZ,-46.6,168.3333,47.8,90,100,18.95,moderate rain
20,Provideniya,RU,64.3833,-173.3,51.12,86,100,4.74,overcast clouds
21,Punta Arenas,CL,-53.15,-70.9167,32.85,72,100,7.38,overcast clouds
22,Lodja,CD,-3.4833,23.4333,80.94,30,10,4.83,clear sky
23,Qaanaaq,GL,77.484,-69.3632,39.63,80,8,2.15,clear sky
24,Kahului,US,20.8947,-156.47,78.82,80,40,18.41,scattered clouds
25,Carutapera,BR,-1.195,-46.02,74.91,88,27,8.28,scattered clouds
26,Olhao,PT,37.0286,-7.8411,75.29,71,0,6.91,clear sky
27,Talnakh,RU,69.4865,88.3972,56.21,87,100,7.72,light rain
28,Saint Anthony,US,45.0205,-93.218,75.13,90,75,5.75,moderate rain
29,Cape Town,ZA,-33.9258,18.4232,59.92,82,0,5.99,clear sky
30,Porto Novo,BJ,6.4965,2.6036,78.62,87,100,7.18,light rain
